Cities,Latitude,Longitude,MaxTemp,Humidity,Cloudiness,WindSpeed
Batagay-Alyta,67.8,130.41,-16.09,95,100,1.28
Kargasok,59.06,80.87,-4.58,75,100,7.13
Alofi,-19.06,-169.92,26.0,61,75,4.1
Fallon,46.84,-105.12,4.0,60,90,7.2
Erseke,40.34,20.68,7.46,91,100,1.85
Saint-Louis,16.03,-16.5,26.0,54,0,2.1
Sorland,67.67,12.69,-2.0,92,75,1.5
Cayenne,4.94,-52.33,28.0,74,79,2.1
Nyagan,62.14,65.43,-8.61,87,100,4.43
Shimoda,34.7,138.93,12.78,70,30,0.89
Evensk,61.92,159.24,-3.35,83,100,4.23
Ruteng,-8.61,120.46,19.82,91,89,1.21
Verkhoyansk,67.55,133.39,-20.92,99,85,1.24
Teknaf,20.86,92.31,20.19,98,91,0.67
Horki,54.29,30.98,0.29,93,85,2.83
Yelanskiy,56.84,62.5,-8.77,88,20,3.21
Presidencia Roque Saenz Pena,-26.79,-60.44,35.39,39,94,3.34
Kirakira,-10.46,161.92,25.93,79,100,5.25
Vigrestad,58.57,5.7,6.11,65,100,12.5
Jalu,29.03,21.55,18.99,77,0,4.74
Cubara,7.0,-72.11,26.17,91,42,0.07
Perelyub,51.87,50.37,-5.02,70,0,3.3
Brigantine,39.41,-74.36,12.22,40,1,6.7
Xinzhi,22.54,120.62,25.0,78,75,2.6
Weligama,5.97,80.42,23.75,93,90,1.22
San Narciso,15.02,120.08,25.0,94,75,2.1
Guaruja,-23.99,-46.26,26.0,77,40,6.2
Clyde River,70.47,-68.59,-9.0,85,75,2.1
Zyryanskoye,56.83,86.62,0.53,79,0,4.92
Jacareacanga,-6.22,-57.76,24.0,94,75,1.5
Junction City,39.03,-96.83,12.22,46,1,4.1
Eyl,7.98,49.82,27.61,86,2,3.92
Zyryanovsk,49.74,84.27,5.37,78,88,1.22
Do Gonbadan,30.36,50.8,14.0,71,0,0.37
Oksfjord,70.24,22.35,-1.0,100,90,6.2
Luderitz,-26.65,15.16,16.0,87,2,2.1
Fuyu,47.79,124.46,-2.16,70,0,4.21
Mana,13.03,5.27,28.47,15,0,3.11
Tucuman,-17.17,-70.89,18.57,35,3,4.68
Faya,18.39,42.45,18.0,93,0,1.14
Turan,52.15,93.92,0.35,80,49,0.81
Erzin,36.95,36.2,16.11,100,75,1.5
Puerto Palomas,31.78,-107.63,18.0,10,1,1.5
Krk,45.03,14.57,12.0,71,20,1.07
Hirara,24.8,125.28,24.66,80,100,7.25
Sinnamary,5.38,-52.96,27.96,78,67,5.88
Dudinka,69.41,86.18,-19.0,84,95,9.0
Kirishi,59.45,32.01,-1.11,49,69,1.76
Filadelfia,-22.35,-60.04,40.08,21,59,6.89
Chichimila,20.62,-88.22,33.0,41,75,5.1
Atsipopoulon,35.35,24.43,18.0,93,75,4.1
Makakilo City,21.35,-158.09,29.44,69,1,3.1
Garissa,-0.46,39.64,25.3,68,15,7.95
Reconquista,-29.14,-59.64,32.87,55,0,2.87
Lakhdenpokhya,61.52,30.2,-0.57,83,91,0.82
Gojra,31.15,72.69,21.24,47,61,3.25
Prado,3.75,-74.93,29.46,52,18,2.32
Pringsewu,-5.36,104.98,21.36,96,79,2.1
Axim,4.87,-2.24,24.59,90,0,1.07
Port-Gentil,-0.72,8.78,27.0,83,75,2.6
Zaranj,30.95,61.86,16.0,82,0,2.1
Lady Frere,-31.7,27.23,13.68,36,90,1.46
Dagana,16.52,-15.51,30.0,30,0,1.0
Hengshan,24.72,121.14,24.0,78,75,6.2
Kuusamo,65.96,29.19,-9.0,92,90,3.1
Rudnichnyy,59.7,60.29,-9.83,88,3,2.53
Laguna,16.17,-88.94,29.0,79,75,3.1
Jimeta,9.28,12.44,27.65,51,100,1.02
Oriximina,-1.77,-55.87,32.64,52,79,2.01
